ticker,close,pct_change_1w,avg_volume_5d,listing,price_cad,currency,fractional_supported
TECK-B.TO,57.99,21.93,3278755,CAD,57.99,CAD,True
OTEX.TO,49.41,7.37,1519700,CAD,49.41,CAD,True
FM.TO,26.32,7.08,2162540,CAD,26.32,CAD,True
CVE.TO,23.38,5.74,11600060,CAD,23.38,CAD,True
K.TO,32.22,5.19,3562240,CAD,32.22,CAD,True
SU.TO,57.75,4.24,12964880,CAD,57.75,CAD,True
IMO.TO,125.99,4.21,759020,CAD,125.99,CAD,True
MFC.TO,44.14,3.91,5115780,CAD,44.14,CAD,True
FNV.TO,277.78,3.6,258960,CAD,277.78,CAD,True
TOU.TO,60.06,3.57,5069300,CAD,60.06,CAD,True
PPL.TO,54.33,3.35,4538920,CAD,54.33,CAD,True
TD.TO,106.32,3.06,4343960,CAD,106.32,CAD,True
CCO.TO,108.14,2.86,1141860,CAD,108.14,CAD,True
CNQ.TO,43.21,2.73,28518460,CAD,43.21,CAD,True
SLF.TO,82.06,2.6,2045340,CAD,82.06,CAD,True
WSP.TO,288.28,2.42,186200,CAD,288.28,CAD,True
WPM.TO,147.63,2.21,700900,CAD,147.63,CAD,True
ABX.TO,40.22,2.16,5463580,CAD,40.22,CAD,True
POW.TO,59.15,2.05,1783540,CAD,59.15,CAD,True
BN.TO,93.8,1.91,1409920,CAD,93.8,CAD,True
ENB.TO,67.98,1.66,3870100,CAD,67.98,CAD,True
FSV.TO,283.12,1.38,106740,CAD,283.12,CAD,True
CTC-A.TO,171.93,1.15,248240,CAD,171.93,CAD,True
MG.TO,64.26,1.12,1008380,CAD,64.26,CAD,True
CM.TO,109.59,1.08,2417680,CAD,109.59,CAD,True
NTR.TO,78.88,0.92,1534920,CAD,78.88,CAD,True
TRP.TO,72.45,0.86,3963740,CAD,72.45,CAD,True
AEM.TO,212.24,0.86,1030600,CAD,212.24,CAD,True
RCI-B.TO,49.53,0.67,1791000,CAD,49.53,CAD,True
BIP-UN.TO,42.42,0.35,310819,CAD,42.42,CAD,True
FTS.TO,68.37,0.28,825000,CAD,68.37,CAD,True
DOL.TO,188.77,0.18,452900,CAD,188.77,CAD,True
BMO.TO,174.93,0.12,1495280,CAD,174.93,CAD,True
EMA.TO,64.79,-0.03,730920,CAD,64.79,CAD,True
IFC.TO,277.97,-0.13,291280,CAD,277.97,CAD,True
BNS.TO,87.74,-0.14,3807480,CAD,87.74,CAD,True
RY.TO,199.63,-0.29,2306260,CAD,199.63,CAD,True
QSR.TO,87.08,-0.32,746680,CAD,87.08,CAD,True
CCL-B.TO,80.04,-0.48,260060,CAD,80.04,CAD,True
MRU.TO,96.71,-0.62,514900,CAD,96.71,CAD,True
CAE.TO,36.62,-0.65,393600,CAD,36.62,CAD,True
H.TO,49.28,-0.75,2447860,CAD,49.28,CAD,True
TRI.TO,239.5,-1.0,380080,CAD,239.5,CAD,True
AQN.TO,7.74,-1.28,1905340,CAD,7.74,CAD,True
WCN.TO,243.84,-1.84,301880,CAD,243.84,CAD,True
L.TO,55.58,-1.84,955040,CAD,55.58,CAD,True
SAP.TO,34.0,-1.93,627580,CAD,34.0,CAD,True
T.TO,22.1,-1.99,4714780,CAD,22.1,CAD,True
CP.TO,103.98,-2.06,1883980,CAD,103.98,CAD,True
WN.TO,86.73,-2.09,296660,CAD,86.73,CAD,True
BCE.TO,33.46,-2.25,3438820,CAD,33.46,CAD,True
SHOP.TO,198.49,-2.39,1350620,CAD,198.49,CAD,True
CNR.TO,129.39,-2.62,3033640,CAD,129.39,CAD,True
BAM.TO,78.35,-2.86,1380900,CAD,78.35,CAD,True
GIL.TO,74.62,-2.93,361200,CAD,74.62,CAD,True
CAR-UN.TO,41.71,-3.07,384142,CAD,41.71,CAD,True
ATD.TO,73.64,-3.16,1491560,CAD,73.64,CAD,True
GIB-A.TO,129.3,-3.46,442880,CAD,129.3,CAD,True
CSU.TO,4392.79,-4.5,39080,CAD,4392.79,CAD,True
