ticker,close,pct_change_1w,avg_volume_5d,listing,bucket
GOOGL,235.0,11.04,57767600,USD,up
GOOG,235.17,10.74,36826960,USD,up
AVGO,334.89,8.5,33877780,USD,up
MU,131.37,7.68,18323480,USD,up
WDC,92.04,12.32,11365780,USD,up
CPB,34.03,7.55,9362520,USD,up
K.TO,30.63,10.06,5374220,CAD,up
ABX.TO,39.37,9.41,4940060,CAD,up
DXCM,80.51,7.23,4357920,USD,up
STX,188.16,9.15,3819320,USD,up
DHI,181.8,7.63,3184680,USD,up
LEN,141.88,6.57,2811960,USD,up
CLX,127.03,7.71,2533500,USD,up
ADSK,326.37,13.13,2513300,USD,up
BMO.TO,174.72,6.52,2132020,CAD,up
ATD.TO,76.24,10.78,1965680,CAD,up
PHM,140.57,6.92,1860080,USD,up
BXP,76.83,7.2,1662020,USD,up
WSM,202.42,7.64,1255660,USD,up
AEM.TO,210.42,10.23,1225540,CAD,up
NVDA,167.02,-7.3,200901840,USD,down
AMD,151.14,-10.35,43398700,USD,down
KVUE,18.62,-9.35,38692020,USD,down
SMCI,40.41,-8.1,26288740,USD,down
LULU,167.8,-18.18,12779980,USD,down
DELL,124.83,-6.88,10552460,USD,down
SCHW,92.05,-5.19,9914420,USD,down
TTD,52.07,-5.94,9279440,USD,down
CVE.TO,22.11,-5.27,9096240,CAD,down
TXN,187.93,-7.92,7895500,USD,down
DLTR,101.12,-10.12,7719780,USD,down
COP,92.95,-5.59,6740560,USD,down
XYZ,74.94,-7.23,5516440,USD,down
LVS,53.7,-6.95,4857180,USD,down
MGM,36.68,-7.35,4121820,USD,down
STZ,148.43,-6.7,3641900,USD,down
GEV,582.08,-8.14,3572000,USD,down
CRWD,417.63,-5.51,3443160,USD,down
CEG,301.58,-5.62,2141200,USD,down
FANG,138.71,-7.01,1658460,USD,down
